"","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","year","actor_n","director_n","company_n","writer_n","country_n","success","success_diff","success_abs_diff"
"1",0.665026321454432,"Columbia Pictures Corporation","USA","Rob Reiner","Adventure",0.806655594228506,"Stand by Me","R","1986-08-22",0.0947867298578199,0.846153846153846,"Wil Wheaton",299174,"Stephen King",1986,1,14,137,20,3726,2.65280944038235,-0.0394982519253403,0.0394982519253403
"2",0.638437784712761,"Paramount Pictures","USA","John Hughes","Comedy",0.826333703420732,"Ferris Bueller's Day Off","PG-13","1986-06-11",0.161137440758294,0.807692307692308,"Matthew Broderick",264740,"John Hughes",1986,9,4,222,14,3726,2.63402601111304,0.018641395728424,0.018641395728424
"3",0.723124430574478,"Paramount Pictures","USA","Tony Scott","Action",0.889411695512731,"Top Gun","PG","1986-05-16",0.194312796208531,0.692307692307692,"Tom Cruise",236909,"Jim Cash",1986,27,14,222,2,3726,2.58171938782042,0.197104003205038,0.197104003205038
"4",0.742507501601381,"Twentieth Century Fox Film Corporation","USA","James Cameron","Action",0.839338720713225,"Aliens","R","1986-07-18",0.322274881516588,0.884615384615385,"Sigourney Weaver",540152,"James Cameron",1986,9,6,174,7,3726,2.72395410532861,-0.0452766639021593,0.0452766639021593
"5",0.675912222492357,"Walt Disney Pictures","USA","Randal Kleiser","Adventure",0.73727310205408,"Flight of the Navigator","PG","1986-08-01",0.0995260663507109,0.692307692307692,"Joey Cramer",36636,"Mark H. Baker",1986,1,3,89,1,3726,2.42958079436177,0.0449654097463874,0.0449654097463874
"6",0.638437784712761,"Hemdale","UK","Oliver Stone","Drama",0.87193991307537,"Platoon","R","1987-02-06",0.241706161137441,0.846153846153846,"Charlie Sheen",317585,"Oliver Stone",1986,10,17,4,3,366,2.71809375922922,0.0257860669215237,0.0257860669215237
"7",0.770336638656599,"Henson Associates (HA)","UK","Jim Henson","Adventure",0.711992352203689,"Labyrinth","PG","1986-06-27",0.151658767772512,0.756410256410256,"David Bowie",102879,"Dennis Lee",1986,1,1,1,1,366,2.46840260861395,-0.0444179042065674,0.0444179042065674
"8",0.638437784712761,"De Laurentiis Entertainment Group (DEG)","USA","David Lynch","Drama",0.685332818746135,"Blue Velvet","R","1986-10-23",0.241706161137441,0.807692307692308,"Isabella Rossellini",146768,"David Lynch",1986,1,6,15,4,3726,2.49302512643844,-0.122359488946173,0.122359488946173
"9",0.675912222492357,"Paramount Pictures","USA","Howard Deutch","Comedy",0.789492286989272,"Pretty in Pink","PG-13","1986-02-28",0.127962085308057,0.679487179487179,"Molly Ringwald",60565,"John Hughes",1986,3,8,222,14,3726,2.46897946647645,0.110005107502092,0.110005107502092
"10",0.723124430574478,"SLM Production Group","USA","David Cronenberg","Drama",0.789467286423753,"The Fly","R","1986-08-15",0.127962085308057,0.769230769230769,"Jeff Goldblum",129698,"George Langelaan",1986,3,8,1,1,3726,2.55869805565452,0.0202365171929841,0.0202365171929841
